Age      lx_25   mx  lx_25mx  Exp   SAD(%)    Ex_25       Rx
0        1      0       0                0              0         63.71     0
1        1      0       0                0              0         62.71     0
2        1      0       0                0              0         61.71     0
3        1      0       0                0              0         60.71     0
4        1      0       0                0              0         59.71     0
5        1      0       0                0              0         58.71     0
6        1      0       0                0              0         57.71     0
7        1      0       0                0              0         56.71     0
8        1      0       0                0              0         55.71     0
9        1      0       0                0              0         54.71     0
10       1      0       0                0              0         53.71     0
11       1      0       0                0              0         52.71     0
12       1      0       0                0              0         51.71     0
13       1      0       0                0              0         50.71     0
14       1      0       0                0              0         49.71     0
15       1      0       0                0              0         48.71     0
16       1      0       0                0              0         47.71     0
17       1      0       0                0              0         46.71     0
18       1      0       0                0              0         45.71     0
19       1      0       0                0              0         44.71     0
20       1      0       0                0              0         43.71     0
21       1      0       0                0              0         42.71     0
22       1      0       0                0              0         41.71     0
23       1      0       0                0              0         40.71     0
24       1      0       0                0              0         39.71     0
25       1      0       0                0              0         38.71     0
26       1      0       0                0              0         37.71     0
27       1      0       0                0              0         36.71     0
28       1      0       0                0              0         35.71     0
29       1      0       0                0              0         34.71     0
30       1      0       0                0              0         33.71     0
31       1      0       0                0              0         32.71     0
32       1      0       0                0              0         31.71     0
33       1      0       0                0              0         30.71     0
34       1      0       0                0              0         29.71     0
35       0.974  0       0                0              0         29.49     0
36       0.974  0       0                0              0         28.49     0
37       0.947  0       0                0              0         28.25     0
38       0.947  0       0                0              0         27.25     0
39       0.947  0       0                0              0         26.25     0
40       0.921  0       0                0              0         25.97     0
41       0.921  0       0                0              0         24.97     0
42       0.921  0       0                0              0         23.97     0
43       0.921  0       0                0              0         22.97     0
44       0.868  0       0                0              0         23.3      0
45       0.868  0       0                0              0         22.3      0
46       0.868  0       0                0              0         21.3      0
47       0.868  0       0                0              0         20.3      0
48       0.842  0       0                0              0         19.91     0
49       0.842  0       0                0              0         18.91     0
50       0.789  0       0                0              0         19.1      0
51       0.763  0       0                0              0         18.72     0
52       0.737  0       0                0              0         18.36     0
53       0.737  0       0                0              0         17.36     0
54       0.711  0       0                0              0         16.96     0
55       0.711  0       0                0              0         15.96     0
56       0.711  0       0                0              0         14.96     0
57       0.684  0       0                0              0         14.5      0
58       0.684  0       0                0              0         13.5      0
59       0.658  0       0                0              0         13        0
60       0.658  0       0                0              0         12        0
61       0.658  0       0                0              0         11        0
62       0.605  0       0                0              0         10.87     0
63       0.605  0       0                0              0         9.87      0
64       0.605  0       0                0              0         8.87      0
65       0.605  0       0                0              0         7.87      0
66       0.579  0       0                0              0         7.18      0
67       0.5    0       0                0              0         7.16      0
68       0.421  0       0                0              0         7.31      0
69       0.421  0       0                0              0         6.31      0
70       0.395  0       0                0              0         5.67      0
71       0.395  0       0                0              0         4.67      0
72       0.342  0       0                0              0         4.23      0
73       0.237  0       0                0              0         4.67      0
74       0.211  0       0                0              0         4.12      0
75       0.184  0       0                0              0         3.57      0 
76       0.158  0       0                0              0         3         0
77       0.158  0       0                0              0         2         0
78       0.105  0       0                0              0         1.5       0
79       0.053  0       0                0              0         1         0
